p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,week,year,plyr_number
bobbymccain_was_2022_15,was_2022_15,bobbymccain_was_2022,was_2022,bobbymccain,9578,s,was,1,19,9.5,9.5,0,0,0,0,0,0,0,0,0,15,2022,15
kyledugger_ne_2022_15,ne_2022_15,kyledugger_ne_2022,ne_2022,kyledugger,90621,s,ne,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,15,2022,15
deshonelliott_det_2022_15,det_2022_15,deshonelliott_det_2022,det_2022,deshonelliott,28854,s,det,1,8,8.0,8.0,0,0,0,0,0,0,0,0,0,15,2022,15
joshblackwell_chi_2022_15,chi_2022_15,joshblackwell_chi_2022,chi_2022,joshblackwell,55589,cb,chi,1,22,7.3,3.1,0,0,0,0,0,0,0,0,0,15,2022,15
bradleyroby_no_2022_15,no_2022_15,bradleyroby_no_2022,no_2022,bradleyroby,8666,cb,no,1,47,6.7,4.7,0,0,0,0,0,0,0,0,0,15,2022,15
zyongilbert_nyg_2022_15,nyg_2022_15,zyongilbert_nyg_2022,nyg_2022,zyongilbert,55891,cb,nyg,1,33,6.6,6.6,0,0,0,0,0,0,0,0,0,15,2022,15
brycecallahan_lac_2022_15,lac_2022_15,brycecallahan_lac_2022,lac_2022,brycecallahan,10000,cb,lac,1,19,6.3,6.3,0,0,0,0,0,0,0,0,0,15,2022,15
dregreenlaw_sf_2022_15,sf_2022_15,dregreenlaw_sf_2022,sf_2022,dregreenlaw,51503,lb,sf,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
tonyfieldsii_cle_2022_15,cle_2022_15,tonyfieldsii_cle_2022,cle_2022,tonyfieldsii,57698,lb,cle,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
tyrannmathieu_no_2022_15,no_2022_15,tyrannmathieu_no_2022,no_2022,tyrannmathieu,7850,s,no,1,12,6.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
devinmccourty_ne_2022_15,ne_2022_15,devinmccourty_ne_2022,ne_2022,devinmccourty,5552,s,ne,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
lavontedavid_tb_2022_15,tb_2022_15,lavontedavid_tb_2022,tb_2022,lavontedavid,7060,lb,tb,1,6,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
rogermccreary_ten_2022_15,ten_2022_15,rogermccreary_ten_2022,ten_2022,rogermccreary,83176,cb,ten,1,12,6.0,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
ajgreen_cle_2022_15,cle_2022_15,ajgreen_cle_2022,cle_2022,ajgreen,50394,cb,cle,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,15,2022,15
lamarcusjoyner_nyj_2022_15,nyj_2022_15,lamarcusjoyner_nyj_2022,nyj_2022,lamarcusjoyner,8676,s,nyj,1,5,5.0,5.0,0,0,0,0,0,0,0,0,0,15,2022,15
jonathanowens_hou_2022_15,hou_2022_15,jonathanowens_hou_2022,hou_2022,jonathanowens,66930,s,hou,1,9,4.5,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
devondrecampbell_gb_2022_15,gb_2022_15,devondrecampbell_gb_2022,gb_2022,devondrecampbell,10749,lb,gb,1,12,4.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
keanuneal_tb_2022_15,tb_2022_15,keanuneal_tb_2022,tb_2022,keanuneal,10651,s,tb,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
adrianamos_gb_2022_15,gb_2022_15,adrianamos_gb_2022,gb_2022,adrianamos,9575,s,gb,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
dariouswilliams_jax_2022_15,jax_2022_15,dariouswilliams_jax_2022,jax_2022,dariouswilliams,55724,cb,jax,1,28,4.0,3.5,0,0,0,0,0,0,0,0,0,15,2022,15
jevonholland_mia_2022_15,mia_2022_15,jevonholland_mia_2022,mia_2022,jevonholland,83873,s,mia,1,4,4.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
reedblankenship_phi_2022_15,phi_2022_15,reedblankenship_phi_2022,phi_2022,reedblankenship,56065,s,phi,1,3,3.0,1.5,0,0,0,0,0,0,0,0,0,15,2022,15
jabrillpeppers_ne_2022_15,ne_2022_15,jabrillpeppers_ne_2022,ne_2022,jabrillpeppers,11780,s,ne,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
cameronsutton_pit_2022_15,pit_2022_15,cameronsutton_pit_2022,pit_2022,cameronsutton,11850,cb,pit,1,6,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
rodneymcleod_ind_2022_15,ind_2022_15,rodneymcleod_ind_2022,ind_2022,rodneymcleod,7271,s,ind,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
chuckclark_bal_2022_15,bal_2022_15,chuckclark_bal_2022,bal_2022,chuckclark,11941,s,bal,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
devinbush_pit_2022_15,pit_2022_15,devinbush_pit_2022,pit_2022,devinbush,27375,lb,pit,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
rodericteamer_lv_2022_15,lv_2022_15,rodericteamer_lv_2022,lv_2022,rodericteamer,51405,s,lv,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
paulsonadebo_no_2022_15,no_2022_15,paulsonadebo_no_2022,no_2022,paulsonadebo,52280,cb,no,1,3,3.0,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
xavienhoward_mia_2022_15,mia_2022_15,xavienhoward_mia_2022,mia_2022,xavienhoward,10672,cb,mia,1,5,2.5,2.5,0,0,0,0,0,0,0,0,0,15,2022,15
elijahcampbell_mia_2022_15,mia_2022_15,elijahcampbell_mia_2022,mia_2022,elijahcampbell,49190,s,mia,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
genostone_bal_2022_15,bal_2022_15,genostone_bal_2022,bal_2022,genostone,55967,s,bal,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
jordanpoyer_buf_2022_15,buf_2022_15,jordanpoyer_buf_2022,buf_2022,jordanpoyer,8000,s,buf,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
jaylonjones_chi_2022_15,chi_2022_15,jaylonjones_chi_2022,chi_2022,jaylonjones,49374,cb,chi,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
kyzirwhite_phi_2022_15,phi_2022_15,kyzirwhite_phi_2022,phi_2022,kyzirwhite,44485,lb,phi,1,2,2.0,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
joeschobert_ten_2022_15,ten_2022_15,joeschobert_ten_2022,ten_2022,joeschobert,10733,lb,ten,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
rudyford_gb_2022_15,gb_2022_15,rudyford_gb_2022,gb_2022,rudyford,11963,s,gb,1,2,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
treavery_ten_2022_15,ten_2022_15,treavery_ten_2022,ten_2022,treavery,56146,cb,ten,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
jonathanjones_ne_2022_15,ne_2022_15,jonathanjones_ne_2022,ne_2022,jonathanjones,11217,cb,ne,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
kennethmurray_lac_2022_15,lac_2022_15,kennethmurray_lac_2022,lac_2022,kennethmurray,58099,lb,lac,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
talanoahufanga_sf_2022_15,sf_2022_15,talanoahufanga_sf_2022,sf_2022,talanoahufanga,83903,s,sf,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
zechmcphearson_phi_2022_15,phi_2022_15,zechmcphearson_phi_2022,phi_2022,zechmcphearson,45464,cb,phi,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
zackbaun_no_2022_15,no_2022_15,zackbaun_no_2022,no_2022,zackbaun,34632,lb,no,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
ernestjones_lar_2022_15,lar_2022_15,ernestjones_lar_2022,lar_2022,ernestjones,81399,lb,lar,1,2,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
jeromebaker_mia_2022_15,mia_2022_15,jeromebaker_mia_2022,mia_2022,jeromebaker,28091,lb,mia,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
ericmurray_hou_2022_15,hou_2022_15,ericmurray_hou_2022,hou_2022,ericmurray,10740,s,hou,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
druetranquill_lac_2022_15,lac_2022_15,druetranquill_lac_2022,lac_2022,druetranquill,51276,lb,lac,1,2,,1.0,0,0,0,0,0,0,0,0,0,15,2022,15
nickscott_lar_2022_15,lar_2022_15,nickscott_lar_2022,lar_2022,nickscott,49012,s,lar,1,3,,3.0,0,0,0,0,0,0,0,0,0,15,2022,15
deionjones_cle_2022_15,cle_2022_15,deionjones_cle_2022,cle_2022,deionjones,10686,lb,cle,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
andrewwingard_jax_2022_15,jax_2022_15,andrewwingard_jax_2022,jax_2022,andrewwingard,49268,s,jax,1,2,,2.0,0,0,0,0,0,0,0,0,0,15,2022,15
justinreid_kc_2022_15,kc_2022_15,justinreid_kc_2022,kc_2022,justinreid,49048,s,kc,1,8,,8.0,0,0,0,0,0,0,0,0,0,15,2022,15
taylorrapp_lar_2022_15,lar_2022_15,taylorrapp_lar_2022,lar_2022,taylorrapp,51172,s,lar,1,6,,6.0,0,0,0,0,0,0,0,0,0,15,2022,15
mikehilton_cin_2022_15,cin_2022_15,mikehilton_cin_2022,cin_2022,mikehilton,10898,cb,cin,1,40,40.0,20.0,0,0,0,0,0,0,0,0,0,15,2022,15
chandonsullivan_min_2022_15,min_2022_15,chandonsullivan_min_2022,min_2022,chandonsullivan,49349,cb,min,1,28,28.0,14.0,0,0,0,0,0,0,0,0,0,15,2022,15
michaelcarterii_nyj_2022_15,nyj_2022_15,michaelcarterii_nyj_2022,nyj_2022,michaelcarterii,60644,cb,nyj,1,26,26.0,5.2,0,0,0,0,0,0,0,0,0,15,2022,15
ljariussneed_kc_2022_15,kc_2022_15,ljariussneed_kc_2022,kc_2022,ljariussneed,40588,cb,kc,1,36,18.0,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
tylerhall_lv_2022_15,lv_2022_15,tylerhall_lv_2022,lv_2022,tylerhall,43958,cb,lv,1,17,17.0,8.5,0,0,0,0,0,0,0,0,0,15,2022,15
kwaunwilliams_den_2022_15,den_2022_15,kwaunwilliams_den_2022,den_2022,kwaunwilliams,9332,cb,den,1,28,14.0,9.3,0,0,0,0,0,0,0,0,0,15,2022,15
terrelledmunds_pit_2022_15,pit_2022_15,terrelledmunds_pit_2022,pit_2022,terrelledmunds,51334,s,pit,1,14,14.0,7.0,0,0,0,0,0,0,0,0,0,15,2022,15
cobybryant_sea_2022_15,sea_2022_15,cobybryant_sea_2022,sea_2022,cobybryant,55088,cb,sea,1,14,14.0,7.0,0,0,0,0,0,0,0,0,0,15,2022,15
jasirtaylor_lac_2022_15,lac_2022_15,jasirtaylor_lac_2022,lac_2022,jasirtaylor,55426,cb,lac,1,27,13.5,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
cobiedurant_lar_2022_15,lar_2022_15,cobiedurant_lar_2022,lar_2022,cobiedurant,79126,cb,lar,1,13,13.0,6.5,0,0,0,0,0,0,0,0,0,15,2022,15
kareemjackson_den_2022_15,den_2022_15,kareemjackson_den_2022,den_2022,kareemjackson,5545,s,den,1,12,12.0,12.0,0,0,0,0,0,0,0,0,0,15,2022,15
tavierrethomas_hou_2022_15,hou_2022_15,tavierrethomas_hou_2022,hou_2022,tavierrethomas,66931,cb,hou,1,34,11.3,8.5,0,0,0,0,0,0,0,0,0,15,2022,15
darnayholmes_nyg_2022_15,nyg_2022_15,darnayholmes_nyg_2022,nyg_2022,darnayholmes,56247,cb,nyg,1,22,11.0,4.4,0,0,0,0,0,0,0,0,0,15,2022,15
damarhamlin_buf_2022_15,buf_2022_15,damarhamlin_buf_2022,buf_2022,damarhamlin,43291,s,buf,1,11,11.0,11.0,0,0,0,0,0,0,0,0,0,15,2022,15
amikrobertson_lv_2022_15,lv_2022_15,amikrobertson_lv_2022,lv_2022,amikrobertson,55619,cb,lv,1,10,10.0,10.0,0,0,0,0,0,0,0,0,0,15,2022,15
deedelaney_tb_2022_15,tb_2022_15,deedelaney_tb_2022,tb_2022,deedelaney,31078,s,tb,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
alexsingleton_den_2022_15,den_2022_15,alexsingleton_den_2022,den_2022,alexsingleton,9994,lb,den,1,9,9.0,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
kerbyjoseph_det_2022_15,det_2022_15,kerbyjoseph_det_2022,det_2022,kerbyjoseph,83239,s,det,1,9,9.0,4.5,0,0,0,0,0,0,0,0,0,15,2022,15
daronbland_dal_2022_15,dal_2022_15,daronbland_dal_2022,dal_2022,daronbland,56158,cb,dal,1,18,9.0,9.0,0,0,0,0,0,0,0,0,0,15,2022,15
mylesbryant_ne_2022_15,ne_2022_15,mylesbryant_ne_2022,ne_2022,mylesbryant,43336,cb,ne,1,32,8.0,4.6,0,0,0,0,0,0,0,0,0,15,2022,15
kevinbyard_ten_2022_15,ten_2022_15,kevinbyard_ten_2022,ten_2022,kevinbyard,10698,s,ten,1,8,8.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
jayronkearse_dal_2022_15,dal_2022_15,jayronkearse_dal_2022,dal_2022,jayronkearse,10878,s,dal,1,8,8.0,4.0,0,0,0,0,0,0,0,0,0,15,2022,15
avontemaddox_phi_2022_15,phi_2022_15,avontemaddox_phi_2022,phi_2022,avontemaddox,50543,cb,phi,1,30,7.5,7.5,0,0,0,0,0,0,0,0,0,15,2022,15
gregnewsomeii_cle_2022_15,cle_2022_15,gregnewsomeii_cle_2022,cle_2022,gregnewsomeii,83341,cb,cle,1,29,7.3,5.8,0,0,0,0,0,0,0,0,0,15,2022,15
