,feature,t_stat,t_stat_abs,rsqrd,adj_rsqrd,runNum
758,inj_count_hb_dog,-1.688439899,1.688439899,0.08019846,0.005576206,100292.1344
3272,run_defense_grades_defense_run_def_summ_fav,1.684653529,1.687712224,0.079792095,0.005833931,100889.8911
280,def_coverage_summary_snap_counts_pass_play_def_cov_summ_dog,1.645948178,1.68486835,0.080526012,0.005885651,99676.93553
947,pass_concept_no_screen_avg_depth_of_target_pass_conc_fav,-1.679403011,1.683480793,0.081296864,0.006025878,100006.1419
293,def_coverage_summary_yards_def_cov_summ_fav,-1.661876371,1.678714116,0.080461693,0.005872878,99351.74285
2176,rec_depth_center_behind_los_pass_blocks_rec_depth_fav,-1.658821904,1.671812542,0.079685162,0.00574708,99032.20587
661,def_summary_total_pressures_def_cov_fav,1.664344351,1.671405157,0.080082493,0.005564755,100481.2674
2092,rec_depth_behind_los_caught_percent_rec_depth_dog,-1.66065943,1.664862456,0.080286271,0.005749548,100096.1066
2174,rec_depth_center_behind_los_pass_block_rate_rec_depth_fav,-1.647734046,1.663975556,0.080192129,0.00575612,99625.07973
372,def_summary_forced_fumbles_def_cov_dog,-1.663172204,1.663227613,0.080317189,0.005525691,100772.7541
839,kicking_total_attempts_fav,1.651116009,1.65801585,0.080181213,0.005504779,100348.4753
2972,rec_depth_short_pass_blocks_rec_depth_dog,-1.657666691,1.657666691,0.079749324,0.005547235,100428.0827
1048,pass_concept_screen_grades_offense_pass_conc_dog,-1.596130761,1.656351567,0.079691163,0.005485199,101149.4161
1242,pass_depth_short_completions_passdepth_dog,-1.630849283,1.649346214,0.080291085,0.005856692,99983.17993
3454,total_dvoa_fav,1.637361723,1.6464479,0.080085261,0.005636903,100320.5832
1234,pass_depth_short_avg_time_to_throw_passdepth_dog,-1.643527768,1.644320874,0.080475905,0.005606396,100141.4888
479,def_summary_missed_tackles_def_stats_fav,-1.638728336,1.642764983,0.080435956,0.005733653,99982.20727
214,def_coverage_scheme_zone_targets_def_cov_schem_dog,1.637195183,1.642338302,0.081217386,0.006046647,100001.9606
3195,rec_summary_yards_per_reception_rec_fav,1.638964695,1.642135344,0.079948702,0.005728885,100766.4627
3280,run_defense_missed_tackle_rate_run_def_summ_fav,-1.638646485,1.639236069,0.080332452,0.005608389,101251.1374
1073,pass_concept_screen_scrambles_pass_conc_fav,-1.638506948,1.638506948,0.080857953,0.005549389,99641.41258
1702,pass_under_pressure_no_blitz_pressure_to_sack_rate_pass_pressure_fav,1.636721764,1.63747116,0.080091069,0.00557427,98902.0562
1197,pass_depth_medium_completions_passdepth_fav,-1.557660241,1.636615486,0.07971806,0.005628379,100923.1536
30,bench_passing_dog,-1.636582068,1.636607236,0.079855704,0.005629246,98996.52224
2905,rec_depth_right_short_grades_hands_drop_rec_depth_fav,-1.6163298,1.62930399,0.080940947,0.005723719,100605.9694
519,def_summary_sacks_def_stats_fav,-1.624217114,1.624375699,0.080123848,0.005434308,100115.778
3290,run_defense_stop_percent_run_def_summ_fav,1.621510514,1.621510514,0.079397388,0.005313267,99753.88371
1284,pass_rush_pass_rush_percent_pass_rush_summ_dog,-1.615610405,1.618696985,0.080452054,0.005445943,98999.06103
1844,pass_under_pressure_pressure_interceptions_pass_pressure_fav,-1.618071655,1.618671083,0.080268322,0.005295903,99835.6907
2743,rec_depth_right_behind_los_pass_blocks_rec_depth_fav,1.606722322,1.617034845,0.08017358,0.005613707,98799.6372
1778,pass_under_pressure_no_pressure_sacks_pass_pressure_fav,1.61541516,1.61541516,0.07975767,0.00543406,100670.1722
2109,rec_depth_behind_los_grades_hands_drop_rec_depth_fav,-1.567856256,1.612802245,0.079720447,0.005391905,98864.66563
373,def_summary_forced_fumbles_def_cov_fav,1.611877551,1.611877551,0.079468988,0.005409027,99633.96329
194,def_coverage_scheme_zone_missed_tackle_rate_def_cov_schem_dog,-1.606644417,1.60774796,0.080276569,0.005544792,100469.7826
2796,rec_depth_right_deeplongest_rec_depth_fav,1.581412713,1.606816182,0.08064283,0.00586851,100606.7126
702,defense_tgs_fav,1.593413842,1.604360282,0.080282838,0.00579344,98924.22107
1708,pass_under_pressure_no_blitz_sacks_pass_pressure_fav,1.593636952,1.601510673,0.080337396,0.005801736,98917.46763
3416,shuttle_rush_fav,1.601065332,1.601065332,0.079816862,0.00560978,100674.6153
484,def_summary_pass_break_ups_def_cov_dog,-1.600259035,1.600259035,0.078946892,0.005221299,99168.72201
2537,rec_depth_left_deep_yards_per_reception_rec_depth_fav,1.583405624,1.599391667,0.08075586,0.00573648,99985.26704
710,draft_yr_lbs_bio_dog,1.596916719,1.597006751,0.079477167,0.005348827,100958.1679
3472,weight_clean_lbs_bio_dog,-1.594167897,1.59422895,0.079373604,0.005327102,100519.3692
20,arm_length_rec_dog,-1.593637178,1.593767499,0.079824205,0.005325023,98612.80077
1417,pass_time_avg_ttt_attempts_time_pocket_dog,-1.5713956,1.593629469,0.080405205,0.005616834,101434.5271
668,def_summary_touchdowns_def_cov_dog,1.593178329,1.593178329,0.079249874,0.005242687,99698.41613
110,def_coverage_scheme_base_snap_counts_coverage_def_cov_schem_dog,1.577355037,1.592902311,0.079543142,0.005416251,100479.7822
458,def_summary_interceptions_run_def_dog,1.591814987,1.591814987,0.080184918,0.005360335,101360.843
1569,pass_under_pressure_blitz_attempts_pass_pressure_dog,-1.291279149,1.588039624,0.079463612,0.005601044,99896.08543
1074,pass_concept_screen_thrown_aways_pass_conc_dog,-1.587023253,1.587042527,0.080243725,0.005529751,100096.3305
1612,pass_under_pressure_blitz_interceptions_pass_pressure_fav,-1.586714779,1.58681623,0.080064378,0.005639159,99599.02447
835,kicking_thirty_made_fav,1.485812701,1.58506856,0.080153421,0.005386842,99775.71182
3053,rec_scheme_man_yards_after_catch_per_reception_rec_schem_fav,1.581260335,1.581551821,0.080068518,0.005251113,100565.3083
2782,rec_depth_right_deepcontested_receptions_rec_depth_fav,1.555165608,1.580425105,0.079636669,0.00551701,99875.96921
493,def_summary_penalties_def_cov_fav,1.573155665,1.575755012,0.0795842,0.005440978,99614.03744
1755,pass_under_pressure_no_pressure_grades_hands_fumble_pass_pressure_dog,1.572973704,1.572973704,0.07943135,0.005135938,99577.82052
859,off_pass_dvoa_dog_vs_def_pass_dvoa_fav,-1.567988291,1.567988291,0.079913708,0.005386147,100458.5099
1869,pressure_source_allowed_pressure_dropbacks_pass_allow_pressure_fav,1.562237167,1.567155943,0.079950965,0.005553504,100995.452
1586,pass_under_pressure_blitz_def_gen_pressures_pass_pressure_fav,-1.551778784,1.563342987,0.080003955,0.005552942,100681.781
