p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play,week,year,plyr_number
brockwright_det_2022_11,det_2022_11,brockwright_det_2022,det_2022,brockwright,60994,te,det,1,0,11,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
daltonrisner_den_2022_11,den_2022_11,daltonrisner_den_2022,den_2022,daltonrisner,47008,g,den,1,0,10,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kelvinbeachum_ari_2022_11,ari_2022_11,kelvinbeachum_ari_2022,ari_2022,kelvinbeachum,7229,t,ari,1,0,1,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
quinnmeinerz_den_2022_11,den_2022_11,quinnmeinerz_den_2022,den_2022,quinnmeinerz,112915,g,den,1,0,10,79.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
calvinanderson_den_2022_11,den_2022_11,calvinanderson_den_2022,den_2022,calvinanderson,46247,t,den,1,0,10,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
drewdalman_atl_2022_11,atl_2022_11,drewdalman_atl_2022,atl_2022,drewdalman,52270,ol,atl,1,0,2,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jakematthews_atl_2022_11,atl_2022_11,jakematthews_atl_2022,atl_2022,jakematthews,8641,t,atl,1,0,2,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
fostermoreau_lv_2022_11,lv_2022_11,fostermoreau_lv_2022,lv_2022,fostermoreau,47043,te,lv,1,0,23,63.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kalebmcgary_atl_2022_11,atl_2022_11,kalebmcgary_atl_2022,atl_2022,kalebmcgary,46912,t,atl,1,0,2,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
chrislindstrom_atl_2022_11,atl_2022_11,chrislindstrom_atl_2022,atl_2022,chrislindstrom,46692,g,atl,1,0,2,56.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
colbygossett_atl_2022_11,atl_2022_11,colbygossett_atl_2022,atl_2022,colbygossett,46673,g,atl,1,0,2,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
marcedeslewis_gb_2022_11,gb_2022_11,marcedeslewis_gb_2022,gb_2022,marcedeslewis,2973,te,gb,1,0,12,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
