p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,week,year,plyr_number
davidmontgomery_chi_2022_11,chi_2022_11,davidmontgomery_chi_2022,chi_2022,davidmontgomery,45719,hb,chi,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
lataviusmurray_den_2022_11,den_2022_11,lataviusmurray_den_2022,den_2022,lataviusmurray,7962,hb,den,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jaylenwarren_pit_2022_11,pit_2022_11,jaylenwarren_pit_2022,pit_2022,jaylenwarren,98692,hb,pit,1,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
alvinkamara_no_2022_11,no_2022_11,alvinkamara_no_2022,no_2022,alvinkamara,11822,hb,no,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tylerallgeier_atl_2022_11,atl_2022_11,tylerallgeier_atl_2022,atl_2022,tylerallgeier,83639,hb,atl,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
raheemmostert_mia_2022_11,mia_2022_11,raheemmostert_mia_2022,mia_2022,raheemmostert,9783,hb,mia,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kennypickett_pit_2022_11,pit_2022_11,kennypickett_pit_2022,pit_2022,kennypickett,60515,qb,pit,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
melvingordoniii_den_2022_11,den_2022_11,melvingordoniii_den_2022,den_2022,melvingordoniii,9448,hb,den,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jacobybrissett_cle_2022_11,cle_2022_11,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
russellwilson_den_2022_11,den_2022_11,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
